Dado 1;Dado 2;Dado 3;;;;;;;;;;;
51.414223;26.582336;-2.4762099;;;;;;;;;;;
55.01014;26.925184;-2.3474476;;;;;;;;;;;
58.600716;27.267523;-2.2188768;;;;;;;;;;;
62.316822;27.586351;-1.8798265;;;;;;;;;;;
66.02741;27.904707;-1.5412798;;;;;;;;;;;
69.73249;28.22259;-1.2032359;;;;;;;;;;;
72.24855;28.264809;-1.1762296;;;;;;;;;;;
74.76087;28.306965;-1.1492634;;;;;;;;;;;
76.05285;28.096731;-1.0207891;;;;;;;;;;;
77.3429;27.88681;-0.8925057;;;;;;;;;;;
78.63104;27.6772;-0.76441276;;;;;;;;;;;
80.00844;27.338442;-0.4919021;;;;;;;;;;;
81.38379;27.000187;-0.21979621;;;;;;;;;;;
82.31486;26.832148;-0.2570871;;;;;;;;;;;
83.244545;26.66436;-0.2943226;;;;;;;;;;;
83.90832;26.556852;-0.4092068;;;;;;;;;;;
84.571106;26.449505;-0.52392036;;;;;;;;;;;
84.31659;26.442041;-0.64393365;;;;;;;;;;;
84.062454;26.434587;-0.76376873;;;;;;;;;;;
84.2536;26.38577;-0.6473683;;;;;;;;;;;
84.444466;26.337025;-0.5311408;;;;;;;;;;;
84.15241;26.329727;-0.49349123;;;;;;;;;;;
83.860794;26.322441;-0.4558976;;;;;;;;;;;
82.580215;26.335785;-0.46520662;;;;;;;;;;;
81.30154;26.349108;-0.4745018;;;;;;;;;;;
80.02476;26.362411;-0.48378316;;;;;;;;;;;
78.04969;26.309774;-0.3811233;;;;;;;;;;;
76.07756;26.257214;-0.27861595;;;;;;;;;;;
73.20972;26.176119;-0.23741418;;;;;;;;;;;
70.34614;26.095142;-0.19627361;;;;;;;;;;;
67.80057;25.842049;-0.22798905;;;;;;;;;;;
65.25877;25.589333;-0.25965738;;;;;;;;;;;
62.72076;25.33699;-0.2912787;;;;;;;;;;;
59.257996;25.032145;-0.40139857;;;;;;;;;;;
55.800373;24.727753;-0.51135486;;;;;;;;;;;
52.272144;24.446535;-0.6238128;;;;;;;;;;;
48.749157;24.165735;-0.7361037;;;;;;;;;;;
45.231403;23.885351;-0.84822786;;;;;;;;;;;
41.92842;23.417015;-0.9991777;;;;;;;;;;;
38.630344;22.949375;-1.1499033;;;;;;;;;;;
35.442223;22.793806;-1.383439;;;;;;;;;;;
32.25884;22.638468;-1.6166278;;;;;;;;;;;
29.080181;22.48336;-1.8494703;;;;;;;;;;;
26.19546;21.941366;-2.0586836;;;;;;;;;;;
23.315023;21.400177;-2.2675862;;;;;;;;;;;
20.115425;20.889666;-2.4606097;;;;;;;;;;;
16.92058;20.379913;-2.6533465;;;;;;;;;;;
13.73048;19.870918;-2.8457973;;;;;;;;;;;
11.149499;19.327614;-2.8695097;;;;;;;;;;;
8.572351;18.785116;-2.893187;;;;;;;;;;;
6.2453284;18.275965;-2.9284708;;;;;;;;;;;
3.921762;17.76757;-2.9637022;;;;;;;;;;;
1.6016467;17.259932;-2.998881;;;;;;;;;;;
-1.8055439;16.835379;-3.0509794;;;;;;;;;;;
-5.207673;16.411457;-3.1030002;;;;;;;;;;;
-7.7442546;15.671739;-3.3334947;;;;;;;;;;;
-10.277069;14.933119;-3.5636468;;;;;;;;;;;
-12.3424225;14.43039;-3.7840595;;;;;;;;;;;
-14.404708;13.928409;-4.0041447;;;;;;;;;;;
-16.46393;13.427173;-4.223903;;;;;;;;;;;
-17.075556;13.200189;-4.076696;;;;;;;;;;;
-17.686274;12.973541;-3.9297073;;;;;;;;;;;
-19.01618;12.51468;-3.8515239;;;;;;;;;;;
-20.34411;12.0564995;-3.7734568;;;;;;;;;;;
-20.907194;11.620039;-3.6194847;;;;;;;;;;;
-21.469442;11.184227;-3.4657414;;;;;;;;;;;
-22.61574;10.707264;-3.4432292;;;;;;;;;;;
-23.760332;10.2310095;-3.4207504;;;;;;;;;;;
-24.903227;9.755463;-3.3983052;;;;;;;;;;;
-24.535788;9.852322;-3.4472854;;;;;;;;;;;
-24.168894;9.949037;-3.496193;;;;;;;;;;;
-22.36432;10.521931;-3.5483942;;;;;;;;;;;
-20.562428;11.093974;-3.6005177;;;;;;;;;;;
-18.256592;11.754374;-3.6778107;;;;;;;;;;;
-15.95418;12.413792;-3.754989;;;;;;;;;;;
-13.655188;13.07223;-3.8320525;;;;;;;;;;;
-9.025685;14.666347;-4.0022745;;;;;;;;;;;
-4.4030585;16.258097;-4.1722436;;;;;;;;;;;
0.21270192;17.543118;-4.510553;;;;;;;;;;;
4.821606;18.82623;-4.848359;;;;;;;;;;;
9.423665;20.107435;-5.185664;;;;;;;;;;;
14.018888;21.254053;-5.7541776;;;;;;;;;;;
18.607286;22.398968;-6.3218465;;;;;;;;;;;
23.08704;23.300512;-6.596651;;;;;;;;;;;
27.56014;24.20072;-6.8710475;;;;;;;;;;;
31.3159;24.899439;-6.8412333;;;;;;;;;;;
35.066082;25.59712;-6.8114634;;;;;;;;;;;
38.81069;26.293766;-6.7817373;;;;;;;;;;;
41.77789;26.835793;-6.7287726;;;;;;;;;;;
44.74068;27.377014;-6.6758866;;;;;;;;;;;
48.33445;28.03609;-6.4194217;;;;;;;;;;;
51.922882;28.69419;-6.1633377;;;;;;;;;;;
54.815765;29.118338;-6.153089;;;;;;;;;;;
57.70435;29.541857;-6.142855;;;;;;;;;;;
60.586823;29.804148;-5.833322;;;;;;;;;;;
63.46501;30.06605;-5.5242486;;;;;;;;;;;
65.41994;30.179447;-5.451972;;;;;;;;;;;
67.37196;30.292677;-5.379803;;;;;;;;;;;
69.32109;30.405739;-5.3077416;;;;;;;;;;;
69.440155;30.083126;-5.3196626;;;;;;;;;;;
69.559044;29.760992;-5.331566;;;;;;;;;;;
69.67776;29.439335;-5.343451;;;;;;;;;;;
70.21806;29.14593;-5.176908;;;;;;;;;;;
70.75756;28.852959;-5.0106125;;;;;;;;;;;
71.42796;28.812471;-4.942325;;;;;;;;;;;
72.09737;28.772043;-4.874139;;;;;;;;;;;
72.789055;28.882315;-4.826532;;;;;;;;;;;
73.47972;28.992422;-4.778996;;;;;;;;;;;
72.36674;28.905302;-4.6447096;;;;;;;;;;;
71.25541;28.81831;-4.510623;;;;;;;;;;;
70.14573;28.731447;-4.376735;;;;;;;;;;;
67.47703;28.438953;-4.335057;;;;;;;;;;;
64.812294;28.146893;-4.2934403;;;;;;;;;;;
61.648964;27.80309;-3.9710853;;;;;;;;;;;
58.49033;27.459795;-3.649209;;;;;;;;;;;
54.174194;26.886284;-3.4003253;;;;;;;;;;;
49.864468;26.313625;-3.1518111;;;;;;;;;;;
45.561146;25.741817;-2.9036663;;;;;;;;;;;
41.89735;25.172401;-2.690534;;;;;;;;;;;
38.238995;24.603832;-2.4777186;;;;;;;;;;;
34.877953;24.251684;-2.2852762;;;;;;;;;;;
31.521904;23.90006;-2.0931196;;;;;;;;;;;
28.17084;23.54896;-1.9012486;;;;;;;;;;;
24.223318;23.00903;-1.8084055;;;;;;;;;;;
20.28166;22.469902;-1.7157003;;;;;;;;;;;
16.226074;21.919231;-1.6948056;;;;;;;;;;;
12.176512;21.369379;-1.673942;;;;;;;;;;;
8.132964;20.820343;-1.6531093;;;;;;;;;;;
3.5381699;19.716833;-1.8595287;;;;;;;;;;;
-1.0497998;18.614964;-2.0656414;;;;;;;;;;;
-4.9889855;17.844622;-2.339334;;;;;;;;;;;
-8.92232;17.075424;-2.6126199;;;;;;;;;;;
-12.8498125;16.307367;-2.8855;;;;;;;;;;;
-15.930753;15.526286;-3.2360995;;;;;;;;;;;
-19.007116;14.746365;-3.5861783;;;;;;;;;;;
